,train,val,test
0,CP_MP-21-0009116_L2,CP_MP-21-0006159_L2,CP_MP-21-0010909_H2
1,CP_MP-20-0014239_L2,CP_MP-21-0009359_L2,CP_MP-18-0007619_H2
2,CP_MP-21-0009909_L2,CP_MP-20-0002128_Hsc,CP_MP-19-0006552_H3
3,CP_MP-21-0002254_H2,CP_MP-18-0002598_H3,CP_MP-20-0007011_H3
4,CP_MP-21-0012908,CP_MP-20-0008507_H2,CP_MP-21-0008905_L2
5,CP_MP-21-0009130_L2,CP_MP-21-0004141_L2,CP_MP-19-0013660_H2
6,CP_MP-20-0015825_H2,CP_MP-21-0009241_L2,CP_MP-18-0006963_L2
7,CP_MP-21-0001185_H3,CP_MP-20-0014232_L2,CP_MP-21-0006784_H2
8,CP_MP-18-0003683_L2,CP_MP-21-0009126_L2,CP_MP-21-0009981_L2
9,CP_MP-21-0009505_H3,CP_MP-21-0004398_L2,CP_MP-18-0002451_L2
10,CP_MP-19-0004340_H2,CP_MP-21-0001156_H2,CP_MP-21-0000605_L2
11,CP_MP-19-0004315_L2sc,CP_IH-21-0013282_H2,CP_MP-21-0009128_L2
12,CP_MP-18-0002372_L2,CP_MP-21-0009735_H2,CP_MP-18-0002339_H3
13,CP_MP-21-0009114_L2,CP_MP-20-0003419_L2,CP_MP-21-0009356_L2
14,CP_MP-17-0013488_H2,CP_MP-19-0008554-2_L2,CP_MP-21-0011136_H3
15,CP_IH-20-0008800_Hsc,CP_IH-21-0013306_H2,CP_MP-21-0000751_H2
16,CP_MP-20-0015656_H3,CP_MP-20-0003529_L2,CP_MP-21-0009827_L2
17,CP_MP-21-0011123_L2,CP_MP-21-0009231_H2,CP_MP-21-0007879_H2
18,CP_MP-21-0008030_L2,CP_MP-19-0008539_L2,CP_MP-21-0009127_L2
19,CP_MP-19-0005081_H3,CP_MP-21-0001688,CP_MP-21-0009475
20,CP_MP-20-0003304_H2,CP_MP-21-0001019,CP_MP-21-0013711
21,CP_MP-18-0012852_H2,CP_MP-18-0002437,CP_MP-21-0002609
22,CP_MP-17-0013530_H2,CP_MP-21-0011216,CP_MP-21-0002781
23,CP_MP-20-0009005_H2,CP_MP-19-0005121,CP_MP-19-0010011
24,CP_MP-21-0007959_L2,CP_MP-21-0013151,CP_MP-21-0009587
25,CP_MP-21-0007880_H2,CP_MP-18-0007672,CP_MP-21-0006811
26,CP_MP-21-0004248_H3,CP_MP-21-0011186,CP_MP-21-0004140
27,CP_MP-18-0002328_L2,CP_MP-20-0001931,CP_MP-19-0008555
28,CP_MP-18-0006838_H2,CP_IH-20-0014949,CP_MP-20-0008774
29,CP_MP-18-0002401_H2,CP_MP-21-0002713,CP_MP-20-0003427
30,CP_MP-21-0009626_H3,CP_MP-20-0002151,CP_MP-21-0000648
31,CP_MP-17-0003201_H3,CP_MP-19-0008089,CP_MP-21-0003988
32,CP_MP-21-0006162_L2,CP_MP-21-0005077,CP_MP-20-0013951
33,CP_MP-18-0003889_L2,CP_MP-21-0005744,CP_MP-19-0004795
34,CP_MP-18-0006806_H3,CP_MP-21-0013078-1,CP_MP-21-0005475
35,CP_MP-20-0011679_H2,CP_MP-19-0013630,CP_MP-20-0008713
36,CP_MP-21-0002336_L2,CP_MP-17-0014076,CP_MP-21-0009274
37,CP_MP-17-0013531_L2,CP_MP-21-0007896 2,CP_MP-19-0004782
38,CP_MP-21-0009131_L2,CP_MP-21-0000379,CP_MP-19-0004249
39,CP_MP-21-0008131_L2,,
40,CP_MP-21-0009275_L2,,
41,CP_MP-20-0006950_H3,,
42,CP_MP-21-0012048_H2,,
43,CP_MP-21-0011223_H2,,
44,CP_MP-18-0002447_L2,,
45,CP_MP-21-0010227_L2,,
46,CP_MP-18-0003707_H2,,
47,CP_MP-18-0005009_H2,,
48,CP_MP-20-0009515_H2,,
