,train,val,test
0,CP_MP-21-0009116_L2,CP_MP-20-0002128_Hsc,CP_MP-19-0006379_H3
1,CP_MP-21-0007879_H2,CP_MP-21-0000588_L2,CP_MP-21-0008119_L2
2,CP_MP-21-0009356_L2,CP_MP-18-0001134_L2,CP_MP-18-0007619_H2
3,CP_MP-20-0014239_L2,CP_MP-21-0004248_H3,CP_IH-19-0008477
4,CP_MP-21-0009909_L2,CP_MP-21-0009067_L2,CP_MP-21-0008131_L2
5,CP_MP-21-0002254_H2,CP_MP-18-0006838_H2,CP_MP-21-0011955_H2
6,CP_MP-21-0009130_L2,CP_MP-21-0001185_H3,CP_MP-21-0012908
7,CP_MP-20-0015825_H2,CP_MP-21-0004254_L2,CP_MP-18-0003889_L2
8,CP_MP-18-0003683_L2,CP_MP-17-0003201_H3,CP_MP-21-0004312_Hsc
9,CP_MP-21-0009505_H3,CP_MP-21-0009273_L2,CP_MP-21-0009066_L2
10,CP_MP-19-0004340_H2,CP_MP-21-0006159_L2,CP_MP-19-0004313_H2
11,CP_MP-19-0004315_L2sc,CP_MP-20-0008507_H2,CP_MP-21-0009827_L2
12,CP_MP-18-0002372_L2,CP_MP-21-0006282_H2,CP_MP-20-0015824_H3
13,CP_MP-21-0009114_L2,CP_MP-21-0001156_H2,CP_MP-18-0000957_H2
14,CP_MP-17-0013488_H2,CP_MP-21-0011050_H2,CP_MP-21-0011250_H2
15,CP_IH-20-0008800_Hsc,CP_MP-21-0008074_L2,CP_MP-21-0002310_L2
16,CP_MP-20-0015656_H3,CP_MP-21-0007959_L2,CP_MP-21-0010935_H2
17,CP_MP-21-0011123_L2,CP_MP-19-0002956_H2,CP_MP-20-0014232_L2
18,CP_MP-21-0008030_L2,CP_MP-17-0014094_L2,CP_IH-21-0013306_H2
19,CP_MP-19-0005081_H3,CP_MP-21-0011163,CP_MP-21-0001688
20,CP_MP-20-0003304_H2,CP_MP-21-0013078-1,CP_MP-21-0001757
21,CP_MP-20-0003529_L2,CP_MP-19-0004795,CP_MP-21-0001784
22,CP_MP-18-0012852_H2,CP_MP-21-0005077,CP_MP-17-0014076
23,CP_MP-21-0000751_H2,CP_MP-20-0013949,CP_MP-21-0006811
24,CP_MP-17-0013530_H2,CP_MP-19-0004782,CP_MP-20-0002127
25,CP_MP-21-0009231_H2,CP_MP-21-0004140,CP_MP-21-0002389
26,CP_MP-20-0009005_H2,CP_MP-18-0003794,CP_MP-21-0004288
27,CP_MP-21-0007880_H2,CP_MP-19-0008554,CP_MP-20-0013838
28,CP_MP-18-0002328_L2,CP_MP-21-0009235,CP_MP-20-0013951
29,CP_IH-21-0013282_H2,CP_MP-21-0013159,CP_MP-18-0007672
30,CP_MP-18-0002401_H2,CP_MP-21-0009514,CP_MP-21-0001718
