,train,val,test
0,CP_MP-21-0009116_L2,CP_MP-21-0000544_L2,CP_MP-17-0003285_H3
1,CP_MP-21-0009356_L2,CP_MP-21-0011123_L2,CP_MP-17-0003345_H3
2,CP_MP-20-0014239_L2,CP_MP-21-0006327_H2,CP_MP-21-0007880_H2
3,CP_MP-21-0009909_L2,CP_MP-19-0004315_L2sc,CP_MP-19-0008490_H2
4,CP_MP-20-0015825_H2,CP_MP-21-0009066_L2,CP_MP-21-0000148_H3
5,CP_MP-21-0001185_H3,CP_MP-21-0002310_L2,CP_MP-21-0002254_H2
6,CP_MP-18-0003683_L2,CP_MP-18-0007034_H3,CP_MP-19-0008539_L2
7,CP_MP-21-0009505_H3,CP_MP-17-0003290_H3,CP_MP-21-0008030_L2
8,CP_MP-18-0002372_L2,CP_MP-21-0006282_H2,CP_MP-21-0009585_L2
9,CP_MP-21-0009114_L2,CP_MP-21-0006773_H3,CP_MP-19-0004340_H2
10,CP_MP-21-0006159_L2,CP_MP-20-0003529_L2,CP_MP-21-0009626_H3
11,CP_MP-17-0013488_H2,CP_MP-21-0009126_L2,CP_MP-20-0006950_H3
12,CP_IH-20-0008800_Hsc,CP_MP-21-0009130_L2,CP_MP-18-0015782_H3
13,CP_MP-20-0015656_H3,CP_MP-21-0009128_L2,CP_MP-18-0005009_H2
14,CP_MP-19-0005081_H3,CP_MP-21-0010934_H2,CP_MP-21-0007879_H2
15,CP_MP-20-0003304_H2,CP_MP-17-0013531_L2,CP_MP-21-0007965_H2
16,CP_MP-18-0012852_H2,CP_MP-21-0010909_H2,CP_MP-20-0011679_H2
17,CP_MP-21-0000751_H2,CP_MP-21-0012908,CP_IH-21-0013306_H2
18,CP_MP-21-0009231_H2,CP_MP-18-0012909,CP_MP-17-0013530_H2
19,CP_MP-20-0002128_Hsc,CP_MP-20-0014732,CP_MP-19-0004525
20,CP_MP-20-0009005_H2,CP_MP-20-0011816,CP_MP-19-0013598
21,CP_MP-21-0007959_L2,CP_MP-21-0009475,CP_MP-21-0003900
22,CP_MP-21-0004248_H3,CP_MP-20-0002151,CP_MP-20-0015012
23,CP_MP-18-0002328_L2,CP_MP-21-0004823,CP_MP-20-0003427
24,CP_IH-21-0013282_H2,CP_MP-21-0005500,CP_MP-19-0004680
25,CP_MP-18-0006838_H2,CP_MP-21-0013158,CP_MP-20-0013951
26,CP_MP-18-0002401_H2,CP_MP-18-0002364,CP_MP-21-0011216
27,CP_MP-17-0003201_H3,CP_MP-21-0001688,CP_MP-21-0007582
28,CP_MP-21-0006162_L2,CP_MP-20-0009016,CP_MP-19-0008528
29,CP_MP-18-0003889_L2,CP_MP-21-0011186,CP_MP-20-0011820
30,CP_MP-18-0006806_H3,CP_MP-21-0000305,CP_MP-21-0001718
31,CP_MP-21-0002336_L2,CP_MP-21-0011052,CP_MP-21-0009587
32,CP_MP-21-0009131_L2,CP_MP-21-0013187,CP_MP-20-0008560
33,CP_MP-21-0008131_L2,CP_MP-18-0001140,CP_MP-21-0011163
34,CP_MP-21-0009275_L2,CP_MP-18-0007672,CP_MP-18-0007443
35,CP_MP-21-0012048_H2,CP_MP-19-0010011,CP_MP-19-0010139
36,CP_MP-21-0011223_H2,CP_MP-21-0013711,CP_MP-21-0012910
37,CP_MP-18-0002447_L2,CP_MP-19-0003057,CP_MP-19-0004225
38,CP_MP-19-0008554-2_L2,CP_MP-18-0002437,CP_MP-20-0013838
39,CP_MP-18-0006963_L2,,
40,CP_MP-21-0010227_L2,,
41,CP_MP-18-0003707_H2,,
42,CP_MP-20-0009515_H2,,
43,CP_MP-21-0004254_L2,,
44,CP_MP-20-0003303_H2,,
45,CP_MP-21-0000007_H3,,
46,CP_MP-19-0008615,,
47,CP_MP-18-0002598_H3,,
48,CP_MP-21-0005617_L1,,
49,CP_MP-21-0000027_H3,,
50,CP_MP-21-0009273_L2,,
51,CP_MP-21-0004091_H2,,
52,CP_MP-21-0004315_H2,,
53,CP_MP-20-0007011_H3,,
54,CP_IH-19-0008477,,
55,CP_MP-21-0000821_L2,,
56,CP_MP-18-0015780_H2,,
57,CP_MP-20-0015824_H3,,
58,CP_MP-21-0008074_L2,,
59,CP_MP-18-0002402_H2,,
60,CP_MP-21-0005647_H2,,
61,CP_MP-21-0005848_H3,,
62,CP_MP-21-0000588_L2,,
63,CP_IH-18-0004964_H2,,
64,CP_MP-18-0000957_H2,,
