,train,val,test
0,CP_MP-21-0009116_L2,CP_MP-18-0006838_H2,CP_MP-21-0012057_L1
1,CP_MP-21-0007879_H2,CP_MP-21-0004254_L2,CP_MP-21-0000331_H3
2,CP_MP-21-0009356_L2,CP_MP-21-0005469_H2,CP_MP-20-0015656_H3
3,CP_MP-20-0014239_L2,CP_MP-21-0009909_L2,CP_MP-21-0000828_H2
4,CP_MP-21-0002254_H2,CP_MP-21-0000225_L1,CP_MP-20-0003529_L2
5,CP_MP-21-0012908,CP_MP-19-0006378_H2,CP_MP-20-0011453_H2
6,CP_MP-21-0009130_L2,CP_MP-21-0009128_L2,CP_MP-21-0009735_H2
7,CP_MP-20-0015825_H2,CP_MP-18-0005009_H2,CP_MP-21-0006282_H2
8,CP_MP-21-0001185_H3,CP_MP-21-0011223_H2,CP_MP-21-0000705_L2
9,CP_MP-18-0003683_L2,CP_MP-21-0010227_L2,CP_MP-19-0005093_H3
10,CP_MP-21-0009505_H3,CP_IH-18-0004964_H2,CP_MP-20-0003419_L2
11,CP_MP-19-0004340_H2,CP_MP-21-0004398_L2,CP_MP-18-0001134_L2
12,CP_MP-19-0004315_L2sc,CP_MP-21-0009825_L2,CP_MP-17-0013794_L1
13,CP_MP-18-0002372_L2,CP_MP-18-0012909,CP_MP-17-0003290_H3
14,CP_MP-21-0009114_L2,CP_MP-21-0006159_L2,CP_MP-21-0006746_L2
15,CP_MP-17-0013488_H2,CP_MP-21-0008074_L2,CP_MP-21-0009826_L2
16,CP_IH-20-0008800_Hsc,CP_MP-21-0009827_L2,CP_MP-18-0012852_H2
17,CP_MP-21-0011123_L2,CP_MP-21-0006773_H3,CP_MP-19-0013660_H2
18,CP_MP-21-0008030_L2,CP_MP-21-0002655_H2,CP_MP-21-0013240_H3
19,CP_MP-19-0005081_H3,CP_MP-21-0009290,CP_MP-20-0015012
20,CP_MP-20-0003304_H2,CP_MP-19-0004525,CP_MP-21-0000969
21,CP_MP-21-0000751_H2,CP_MP-21-0004311,CP_MP-18-0007528
22,CP_MP-17-0013530_H2,CP_MP-21-0000585,CP_MP-21-0009115
23,CP_MP-21-0009231_H2,CP_MP-18-0001140,CP_MP-21-0004140
24,CP_MP-20-0002128_Hsc,CP_MP-21-0009475,CP_MP-21-0002433
25,CP_MP-20-0009005_H2,CP_MP-21-0005027,CP_MP-20-0014084
26,CP_MP-21-0007959_L2,CP_MP-21-0000659,CP_MP-19-0005121
27,CP_MP-21-0007880_H2,CP_MP-19-0008554,CP_MP-20-0002232
28,CP_MP-21-0004248_H3,CP_MP-18-0000802,CP_MP-19-0004473
29,CP_MP-18-0002328_L2,CP_MP-20-0015275,CP_MP-20-0002148
30,CP_IH-21-0013282_H2,CP_MP-17-0013882,CP_MP-21-0000604
31,CP_MP-18-0002401_H2,CP_MP-19-0006053,CP_MP-21-0000379
32,CP_MP-21-0009626_H3,CP_MP-21-0000852,CP_MP-21-0004444
33,CP_MP-17-0003201_H3,CP_MP-21-0009594,CP_MP-19-0004912
34,CP_MP-21-0006162_L2,CP_MP-21-0013300,CP_MP-21-0013078-2
35,CP_MP-18-0003889_L2,CP_MP-17-0014076,CP_MP-19-0003064
36,CP_MP-18-0006806_H3,CP_MP-20-0008986,CP_MP-19-0004680
