,train,val,test
0,CP_MP-19-0008528,CP_MP-21-0005077,CP_MP-21-0003988
1,CP_MP-18-0006977,CP_MP-18-0002484,CP_MP-19-0006084
2,CP_MP-17-0014039,CP_MP-21-0001023,CP_MP-20-0002151
3,CP_MP-20-0002232,CP_MP-21-0010878,CP_MP-21-0002781
4,CP_MP-19-0004383,CP_MP-18-0001140,CP_MP-19-0010011
5,CP_MP-21-0005067,CP_MP-19-0013558,CP_MP-17-0014072
6,CP_MP-20-0015231,CP_MP-21-0000375,CP_MP-21-0011186
7,CP_MP-21-0001718,CP_MP-21-0009594,CP_MP-21-0001019
8,CP_MP-18-0007528,CP_MP-21-0009973,CP_MP-17-0013882
9,CP_MP-21-0009050,CP_MP-21-0013187,CP_MP-21-0013151
10,CP_MP-20-0013067,CP_MP-21-0000659,CP_MP-20-0014002
11,CP_MP-18-0000802,CP_MP-21-0007582,CP_MP-21-0005039
12,CP_MP-20-0014732,CP_MP-21-0011216,CP_MP-18-0012930
13,CP_MP-19-0006053,CP_MP-21-0013078-2,CP_MP-20-0013991
14,CP_MP-19-0006142,CP_IH-20-0014949,CP_MP-21-0012910
15,CP_MP-17-0013344,CP_MP-20-0011816,CP_MP-21-0012901
16,CP_MP-21-0004288,CP_MP-21-0009475,CP_MP-21-0005024
17,CP_MP-21-0009134,CP_MP-21-0002433,CP_MP-21-0009235
18,CP_MP-20-0012825,CP_MP-21-0000604,CP_MP-20-0002081
19,CP_MP-21-0004299,CP_MP-21-0013158,CP_MP-21-0004476
20,CP_MP-20-0015275,CP_MP-21-0009505_H3,CP_MP-21-0009909_L2
21,CP_MP-21-0006811,CP_MP-21-0006159_L2,CP_MP-21-0009130_L2
22,CP_MP-19-0004225,CP_MP-21-0009231_H2,CP_MP-21-0008131_L2
23,CP_MP-18-0002437,CP_MP-20-0002128_Hsc,CP_MP-19-0008554-2_L2
24,CP_MP-21-0008894,CP_MP-21-0007959_L2,CP_MP-21-0004315_H2
25,CP_MP-21-0009548,CP_IH-21-0013282_H2,CP_MP-21-0008074_L2
26,CP_MP-18-0005024,CP_MP-21-0002336_L2,CP_MP-21-0010935_H2
27,CP_MP-21-0000400,CP_MP-21-0011223_H2,CP_MP-19-0005093_H3
28,CP_MP-21-0009290,CP_IH-21-0013306_H2,CP_MP-19-0004177_H2
29,CP_MP-21-0002713,CP_MP-18-0002598_H3,CP_MP-21-0000148_H3
30,CP_MP-20-0003427,CP_MP-17-0003285_H3,CP_MP-21-0011250_H2
31,CP_MP-21-0009115,CP_MP-19-0008391_L2,CP_MP-20-0014231_H3
32,CP_MP-21-0005027,CP_MP-21-0004398_L2,CP_MP-21-0000828_H2
33,CP_MP-21-0013711,CP_MP-21-0000829_L2,CP_MP_21-0009863_H2
34,CP_MP-21-0009212,CP_MP-21-0009967_L2,CP_MP-17-0014094_L2
35,CP_MP-20-0014785,CP_MP-18-0012909,CP_MP-17-0013794_L1
36,CP_MP-21-0002389,CP_MP-21-0009735_H2,CP_MP-19-0003053_H2
37,CP_MP-21-0001084,CP_MP-21-0009825_L2,CP_MP-21-0009127_L2
38,CP_MP-21-0006757,CP_MP-21-0001156_H2,CP_MP-19-0013660_H2
39,CP_MP-20-0015628,,
40,CP_MP-21-0004444,,
41,CP_MP-20-0015012,,
42,CP_MP-20-0012053,,
43,CP_MP-19-0008089,,
44,CP_MP-19-0004535,,
45,CP_MP-19-0008491,,
46,CP_MP-19-0003037,,
47,CP_MP-21-0004311,,
48,CP_MP-21-0000648,,
49,CP_MP-21-0001757,,
50,CP_MP-21-0003900,,
51,CP_MP-19-0004680,,
52,CP_MP-21-0002779,,
53,CP_MP-20-0009016,,
54,CP_MP-19-0004525,,
55,CP_MP-20-0011820,,
56,CP_MP-21-0005475,,
57,CP_MP-20-0008560,,
58,CP_MP-20-0008713,,
59,CP_MP-20-0008886,,
60,CP_MP-21-0001784,,
61,CP_MP-21-0002609,,
62,CP_MP-17-0014076,,
63,CP_MP-19-0004795,,
64,CP_MP-21-0002300,,
65,CP_MP-21-0000305,,
66,CP_MP-21-0013078-1,,
67,CP_MP-19-0003057,,
68,CP_MP-21-0006365,,
69,CP_MP-21-0004320,,
70,CP_MP-21-0002488,,
71,CP_MP-20-0014084,,
72,CP_MP-20-0008897,,
73,CP_MP-20-0008986,,
74,CP_MP-18-0012961,,
75,CP_MP-21-0000146,,
76,CP_MP-20-0015272-2,,
77,CP_MP-18-0003823,,
78,CP_MP-20-0013951,,
79,CP_MP-21-0004163,,
80,CP_MP-18-0007443,,
81,CP_MP-19-0004982,,
82,CP_MP-19-0013692,,
83,CP_MP-19-0013630,,
84,CP_MP-21-0005500,,
85,CP_MP-21-0011163,,
86,CP_MP-19-0004249,,
87,CP_MP-20-0008774,,
88,CP_MP-21-0000969,,
89,CP_MP-19-0004473,,
90,CP_MP-21-0000518,,
91,CP_MP-21-0004140,,
92,CP_MP-17-0013378,,
93,CP_MP-21-0009586,,
94,CP_MP-19-0005121,,
95,CP_MP-21-0013300,,
96,CP_MP-19-0003064,,
97,CP_MP-21-0006280,,
98,CP_MP-18-0013101,,
99,CP_MP-18-0002364,,
100,CP_MP-21-0009179,,
101,CP_MP-18-0007672,,
102,CP_MP-20-0013853,,
103,CP_MP-19-0008555,,
104,CP_MP-21-0005744,,
105,CP_MP-21-0008988,,
106,CP_MP-21-0013235,,
107,CP_MP-20-0002148,,
108,CP_MP-20-0002008,,
109,CP_MP-21-0009514,,
110,CP_MP-21-0011052,,
111,CP_MP-18-0003955,,
112,CP_MP-21-0012871,,
113,CP_MP-19-0004782,,
114,CP_MP-19-0008554,,
115,CP_MP-19-0004621,,
116,CP_MP-19-0003150,,
117,CP_MP-21-0009116_L2,,
118,CP_MP-21-0007879_H2,,
119,CP_MP-21-0009356_L2,,
120,CP_MP-20-0014239_L2,,
121,CP_MP-21-0002254_H2,,
122,CP_MP-21-0012908,,
123,CP_MP-20-0015825_H2,,
124,CP_MP-21-0001185_H3,,
125,CP_MP-18-0003683_L2,,
126,CP_MP-19-0004340_H2,,
127,CP_MP-19-0004315_L2sc,,
128,CP_MP-18-0002372_L2,,
129,CP_MP-21-0009114_L2,,
130,CP_MP-17-0013488_H2,,
131,CP_IH-20-0008800_Hsc,,
132,CP_MP-20-0015656_H3,,
133,CP_MP-21-0011123_L2,,
134,CP_MP-21-0008030_L2,,
135,CP_MP-19-0005081_H3,,
136,CP_MP-20-0003304_H2,,
137,CP_MP-20-0003529_L2,,
138,CP_MP-18-0012852_H2,,
139,CP_MP-21-0000751_H2,,
140,CP_MP-17-0013530_H2,,
141,CP_MP-20-0009005_H2,,
142,CP_MP-21-0007880_H2,,
143,CP_MP-21-0004248_H3,,
144,CP_MP-18-0002328_L2,,
145,CP_MP-18-0006838_H2,,
146,CP_MP-18-0002401_H2,,
147,CP_MP-21-0009626_H3,,
148,CP_MP-17-0003201_H3,,
149,CP_MP-21-0006162_L2,,
150,CP_MP-18-0003889_L2,,
151,CP_MP-18-0006806_H3,,
152,CP_MP-20-0011679_H2,,
153,CP_MP-17-0013531_L2,,
154,CP_MP-21-0009131_L2,,
155,CP_MP-21-0009275_L2,,
156,CP_MP-20-0006950_H3,,
157,CP_MP-21-0012048_H2,,
158,CP_MP-18-0002447_L2,,
159,CP_MP-18-0006963_L2,,
160,CP_MP-21-0009128_L2,,
161,CP_MP-21-0010227_L2,,
162,CP_MP-18-0003707_H2,,
163,CP_MP-18-0005009_H2,,
164,CP_MP-20-0009515_H2,,
165,CP_MP-21-0004254_L2,,
166,CP_MP-21-0006773_H3,,
167,CP_MP-21-0002310_L2,,
168,CP_MP-20-0003303_H2,,
169,CP_MP-21-0007965_H2,,
170,CP_MP-21-0000007_H3,,
171,CP_MP-19-0008615,,
172,CP_MP-17-0003345_H3,,
173,CP_MP-21-0005617_L1,,
174,CP_MP-18-0015782_H3,,
175,CP_MP-21-0000027_H3,,
176,CP_MP-19-0008490_H2,,
177,CP_MP-21-0009273_L2,,
178,CP_MP-21-0004091_H2,,
179,CP_MP-21-0006327_H2,,
180,CP_MP-21-0006282_H2,,
181,CP_MP-20-0007011_H3,,
182,CP_IH-19-0008477,,
183,CP_MP-21-0000821_L2,,
184,CP_MP-21-0009585_L2,,
185,CP_MP-18-0015780_H2,,
186,CP_MP-20-0015824_H3,,
187,CP_MP-18-0002402_H2,,
188,CP_MP-21-0005647_H2,,
189,CP_MP-21-0005848_H3,,
190,CP_MP-21-0000588_L2,,
191,CP_IH-18-0004964_H2,,
192,CP_MP-18-0000957_H2,,
193,CP_MP-21-0004312_Hsc,,
194,CP_MP-20-0014232_L2,,
195,CP_MP-21-0006817_L2,,
196,CP_MP-21-0000544_L2,,
197,CP_MP-19-0002956_H2,,
198,CP_MP-18-0001134_L2,,
199,CP_MP-20-0008547_H3,,
200,CP_MP-21-0000331_H3,,
201,CP_MP-20-0014623_H3,,
202,CP_MP-20-0011987_L2,,
